Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:1/2 - JG_Cep152_gtub_017_SIR_PRJ.dv,1,0.268,0.268,0.262,0,0,2.345,0.866,5.293,4.819,155.772,0.470,CEP152,0.406
c:1/2 - JG_Cep152_gtub_018_SIR_PRJ.dv,4,0.304,0.076,0.298,0,0,0.983,0.349,2.716,6.429,137.466,0.240,CEP152,0.437
c:1/2 - JG_Cep152_gtub_019_SIR_PRJ.dv,2,0.410,0.205,0.401,0,0,1.968,0.672,7.268,7.051,93.724,0.363,CEP152,0.771
c:1/2 - JG_Cep152_gtub_020_SIR_PRJ.dv,21,0.897,0.043,0.877,0,0,0.860,0.367,5.099,4.283,78.053,0.171,CEP152,0.241
c:1/2 - JG_Cep152_gtub_021_SIR_PRJ.dv,4,0.373,0.093,0.365,0,0,1.191,0.421,5.096,7.347,74.009,0.303,CEP152,0.284
c:1/2 - JG_Cep152_gtub_022_SIR_PRJ.dv,2,0.367,0.183,0.359,0,0,1.761,0.625,4.878,5.372,42.019,0.474,CEP152,0.262
c:1/2 - JG_Cep152_gtub_023_SIR_PRJ.dv,1,0.304,0.304,0.298,0,0,2.647,0.825,5.412,4.069,73.301,0.532,CEP152,0.468
c:1/2 - JG_Cep152_gtub_024_SIR_PRJ.dv,4,0.279,0.070,0.273,0,0,0.975,0.353,5.303,4.730,56.461,0.255,CEP152,0.244
c:1/2 - JG_Cep152_gtub_025_SIR_PRJ.dv,2,0.281,0.140,0.275,0,0,1.693,0.593,6.952,5.589,100.305,0.296,CEP152,0.449
c:1/2 - JG_Cep152_gtub_027_SIR_PRJ.dv,2,0.175,0.087,0.171,0,0,0.998,0.389,4.622,2.903,69.592,0.276,CEP152,0.206
c:1/2 - JG_Cep152_gtub_028_SIR_PRJ.dv,3,0.209,0.070,0.204,0,0,1.199,0.417,5.780,4.753,128.785,0.277,CEP152,0.206
c:1/2 - JG_Cep152_gtub_030_SIR_PRJ.dv,2,0.275,0.137,0.269,0,0,1.756,0.540,5.017,4.523,92.764,0.419,CEP152,0.224
c:1/2 - JG_Cep152_gtub_031_SIR_PRJ.dv,3,0.387,0.129,0.378,0,0,1.436,0.563,7.663,5.254,62.722,0.303,CEP152,0.599
c:1/2 - JG_Cep152_gtub_032_SIR_PRJ.dv,3,0.237,0.079,0.232,0,0,1.044,0.416,4.292,4.464,124.306,0.262,CEP152,0.281
c:1/2 - JG_Cep152_gtub_033_SIR_PRJ.dv,3,0.186,0.062,0.182,0,0,0.819,0.316,6.715,6.452,113.014,0.237,CEP152,0.206
c:1/2 - JG_Cep152_gtub_034_SIR_PRJ.dv,4,0.215,0.054,0.211,0,0,0.801,0.327,3.772,4.651,106.370,0.224,CEP152,0.172
c:1/2 - JG_Cep152_gtub_035_SIR_PRJ.dv,19,0.866,0.046,0.847,0,0,0.986,0.410,6.114,6.183,61.833,0.186,CEP152,0.406
c:1/2 - JG_Cep152_gtub_036_SIR_PRJ.dv,3,0.240,0.080,0.235,0,0,1.158,0.475,5.398,4.082,75.123,0.284,CEP152,0.328
c:1/2 - JG_Cep152_gtub_039_SIR_PRJ.dv,1,0.214,0.214,0.209,0,0,2.522,0.922,4.424,5.135,170.134,0.474,CEP152,0.431
c:3/3 - Centrin_Sas6_Cep192_001_SIR_PRJ.dv,5,0.535,0.107,0.523,0,0,1.087,0.405,6.265,4.819,122.374,0.294,CEP192-M,0.375
c:3/3 - Centrin_Sas6_Cep192_002_SIR_PRJ.dv,2,0.590,0.295,0.577,0,0,2.321,0.777,4.839,5.451,73.650,0.632,CEP192-M,0.531
c:3/3 - Centrin_Sas6_Cep192_003_SIR_PRJ.dv,2,0.563,0.282,0.551,0,0,1.905,0.693,3.140,5.451,152.636,0.500,CEP192-M,0.934
c:3/3 - Centrin_Sas6_Cep192_004_SIR_PRJ.dv,5,0.594,0.119,0.581,0,0,1.077,0.412,4.535,4.250,75.557,0.265,CEP192-M,0.427
c:3/3 - Centrin_Sas6_Cep192_007_SIR_PRJ.dv,2,0.421,0.211,0.412,0,0,1.742,0.633,4.859,5.491,54.146,0.477,CEP192-M,0.345
c:3/3 - Centrin_Sas6_Cep192_008_SIR_PRJ.dv,3,0.445,0.148,0.435,0,0,1.316,0.474,5.306,6.307,118.472,0.370,CEP192-M,0.284
c:3/3 - Centrin_Sas6_Cep192_009_SIR_PRJ.dv,2,0.482,0.241,0.471,0,0,1.873,0.677,5.451,5.589,65.841,0.512,CEP192-M,0.352
c:3/3 - Centrin_Sas6_Cep192_010_SIR_PRJ.dv,2,0.523,0.261,0.511,0,0,1.930,0.718,5.135,5.431,91.135,0.488,CEP192-M,0.356
c:3/3 - Centrin_Sas6_Cep192_012_SIR_PRJ.dv,2,0.445,0.222,0.435,0,0,1.614,0.603,2.765,4.444,78.725,0.380,CEP192-M,0.683
c:3/3 - Centrin_Sas6_Cep192_013_SIR_PRJ.dv,3,0.537,0.179,0.525,0,0,1.334,0.525,5.767,6.860,97.839,0.338,CEP192-M,0.820
c:3/3 - Centrin_Sas6_Cep192_014_SIR_PRJ.dv,2,0.548,0.274,0.536,0,0,2.047,0.696,5.155,6.399,75.582,0.552,CEP192-M,0.445
c:3/3 - Centrin_Sas6_Cep192_016_SIR_PRJ.dv,4,0.577,0.144,0.565,0,0,1.149,0.432,5.313,5.629,87.271,0.309,CEP192-M,0.790
c:3/3 - Centrin_Sas6_Cep192_017_SIR_PRJ.dv,1,0.491,0.491,0.481,0,0,4.094,1.364,3.990,6.123,22.109,0.651,CEP192-M,1.249
c:3/3 - Centrin_Sas6_Cep192_018_SIR_PRJ.dv,2,0.479,0.239,0.468,0,0,1.856,0.682,6.300,4.938,92.702,0.494,CEP192-M,0.325
c:3/3 - Centrin_Sas6_Cep192_019_SIR_PRJ.dv,1,0.451,0.451,0.441,0,0,2.982,1.050,4.464,6.202,70.201,0.610,CEP192-M,0.690
c:3/3 - Centrin_Sas6_Cep192_020_SIR_PRJ.dv,2,0.521,0.261,0.510,0,0,2.165,0.711,6.853,7.545,147.627,0.413,CEP192-M,0.796
c:3/3 - Centrin_Sas6_Cep192_022_SIR_PRJ.dv,2,0.562,0.281,0.549,0,0,2.240,0.793,4.543,6.142,56.022,0.336,CEP192-M,0.743
c:3/3 - Centrin_Sas6_Cep192_026_SIR_PRJ.dv,4,0.512,0.128,0.500,0,0,1.208,0.440,5.886,6.804,63.535,0.338,CEP192-M,0.328
c:3/3 - Centrin_Sas6_Cep192_028_SIR_PRJ.dv,4,0.626,0.156,0.612,0,0,1.404,0.499,5.925,6.893,57.038,0.394,CEP192-M,0.452
c:3/3 - Centrin_Sas6_Cep192_030_SIR_PRJ.dv,2,0.420,0.210,0.410,0,0,1.719,0.610,5.135,4.878,167.258,0.488,CEP192-M,0.375
c:3/3 - Centrin_Sas6_Cep192_032_SIR_PRJ.dv,3,0.729,0.243,0.713,0,0,1.731,0.655,4.279,5.978,126.568,0.409,CEP192-M,0.623
c:3/3 - Centrin_Sas6_Cep192_035_SIR_PRJ.dv,4,0.740,0.185,0.723,0,0,1.772,0.641,6.419,5.036,112.887,0.388,CEP192-M,0.624
c:3/3 - Centrin_Sas6_Cep192_036_SIR_PRJ.dv,3,0.574,0.191,0.562,0,0,1.621,0.594,3.700,4.806,78.491,0.420,CEP192-M,0.422
c:3/3 - Centrin_Sas6_Cep192_038_SIR_PRJ.dv,2,0.530,0.265,0.519,0,0,2.210,0.816,2.370,7.209,116.672,0.377,CEP192-M,0.876
c:3/3 - Centrin_Sas6_Cep192_039_SIR_PRJ.dv,2,0.541,0.271,0.529,0,0,1.956,0.699,6.616,3.200,111.834,0.396,CEP192-M,0.843
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1301_1_SIR_PRJ.dv,1,0.378,0.378,0.368,0,0,2.621,0.877,5.306,4.871,108.435,0.623,CEP192-M,0.626
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1315_1_SIR_PRJ.dv,2,0.519,0.260,0.505,0,0,2.027,0.731,4.693,5.128,150.250,0.537,CEP192-M,0.508
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1318_1_SIR_PRJ.dv,2,0.455,0.227,0.443,0,0,1.877,0.645,5.207,5.089,44.460,0.507,CEP192-M,0.351
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1436_1_SIR_PRJ.dv,3,0.420,0.140,0.409,0,0,1.258,0.452,6.323,6.904,66.437,0.366,CEP192-M,0.307
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1438_1_SIR_PRJ.dv,2,0.450,0.225,0.438,0,0,1.840,0.656,4.712,5.287,106.236,0.468,CEP192-M,0.301
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1443_1_SIR_PRJ.dv,3,0.466,0.155,0.453,0,0,1.413,0.488,5.412,6.560,73.362,0.401,CEP192-M,0.329
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1446_1_SIR_PRJ.dv,2,0.334,0.167,0.325,0,0,1.523,0.557,5.148,5.643,95.598,0.422,CEP192-M,0.265
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1452_1_SIR_PRJ.dv,1,0.337,0.337,0.328,0,0,2.990,0.978,4.950,4.831,111.371,0.567,CEP192-M,0.685
c:2/3 - Centrin_Cpap_PCNTN20_001_SIR_PRJ.dv,5,0.290,0.058,0.284,0,0,1.018,0.404,4.859,4.898,82.571,0.243,CPAP,0.120
c:2/3 - Centrin_Cpap_PCNTN20_002_SIR_PRJ.dv,2,0.097,0.048,0.095,0,0,0.886,0.381,5.214,4.325,89.377,0.178,CPAP,0.094
c:2/3 - Centrin_Cpap_PCNTN20_003_SIR_PRJ.dv,4,0.148,0.037,0.145,0,0,0.760,0.289,5.293,5.737,135.795,0.205,CPAP,0.100
c:2/3 - Centrin_Cpap_PCNTN20_004_SIR_PRJ.dv,3,0.150,0.050,0.146,0,0,0.946,0.390,4.543,4.279,125.292,0.163,CPAP,0.120
c:2/3 - Centrin_Cpap_PCNTN20_005_SIR_PRJ.dv,2,0.119,0.059,0.116,0,0,0.975,0.416,6.360,5.491,106.057,0.210,CPAP,0.112
c:2/3 - Centrin_Cpap_PCNTN20_007_SIR_PRJ.dv,5,0.197,0.039,0.192,0,0,0.767,0.309,5.649,3.642,103.567,0.199,CPAP,0.099
c:2/3 - Centrin_Cpap_PCNTN20_008_SIR_PRJ.dv,3,0.130,0.043,0.127,0,0,0.785,0.327,5.951,3.766,95.358,0.188,CPAP,0.094
c:2/3 - Centrin_Cpap_PCNTN20_009_SIR_PRJ.dv,5,0.175,0.035,0.171,0,0,0.713,0.302,5.001,5.925,106.842,0.178,CPAP,0.086
c:2/3 - Centrin_Cpap_PCNTN20_010_SIR_PRJ.dv,4,0.139,0.035,0.136,0,0,0.678,0.280,4.720,5.175,76.946,0.187,CPAP,0.063
c:2/3 - Centrin_Cpap_PCNTN20_011_SIR_PRJ.dv,4,0.161,0.040,0.157,0,0,0.742,0.303,7.110,5.579,84.794,0.200,CPAP,0.088
c:2/3 - Centrin_Cpap_PCNTN20_012_SIR_PRJ.dv,2,0.111,0.055,0.108,0,0,1.026,0.408,4.404,4.780,130.935,0.198,CPAP,0.084
c:2/3 - Centrin_Cpap_PCNTN20_014_SIR_PRJ.dv,4,0.125,0.031,0.122,0,0,0.653,0.265,5.254,5.925,131.006,0.175,CPAP,0.050
c:2/3 - Centrin_Cpap_PCNTN20_016_SIR_PRJ.dv,4,0.173,0.043,0.169,0,0,0.798,0.332,3.832,4.908,83.419,0.188,CPAP,0.112
c:2/3 - Centrin_Cpap_PCNTN20_017_SIR_PRJ.dv,2,0.064,0.032,0.063,0,0,0.672,0.296,3.654,6.182,46.561,0.185,CPAP,0.055
c:2/3 - Centrin_Cpap_PCNTN20_018_SIR_PRJ.dv,3,0.123,0.041,0.121,0,0,0.797,0.350,5.372,6.412,51.032,0.155,CPAP,0.078
c:2/3 - Centrin_Cpap_PCNTN20_019_SIR_PRJ.dv,2,0.094,0.047,0.092,0,0,0.830,0.356,5.905,4.641,115.505,0.178,CPAP,0.070
c:1/2 - CPAP_gtub_001_SIR_PRJ.dv,5,0.389,0.078,0.380,0,0,1.195,0.388,2.528,5.396,87.195,0.228,CPAP,0.717
c:1/2 - CPAP_gtub_002_SIR_PRJ.dv,3,0.225,0.075,0.220,0,0,1.224,0.428,3.529,4.727,109.025,0.285,CPAP,0.264
c:1/2 - CPAP_gtub_003_SIR_PRJ.dv,4,0.226,0.057,0.221,0,0,1.081,0.338,5.579,5.688,108.686,0.273,CPAP,0.262
c:1/2 - CPAP_gtub_005_SIR_PRJ.dv,2,0.276,0.138,0.270,0,0,2.007,0.646,4.167,4.701,95.210,0.407,CPAP,0.284
c:1/2 - CPAP_gtub_006_SIR_PRJ.dv,2,0.167,0.083,0.163,0,0,1.603,0.532,4.957,5.589,121.717,0.323,CPAP,0.200
c:1/2 - CPAP_gtub_007_SIR_PRJ.dv,2,0.158,0.079,0.154,0,0,1.277,0.416,5.431,3.950,48.563,0.347,CPAP,0.206
c:1/2 - CPAP_gtub_008_SIR_PRJ.dv,3,0.183,0.061,0.179,0,0,1.109,0.427,4.213,4.635,107.545,0.235,CPAP,0.237
c:1/2 - CPAP_gtub_009_SIR_PRJ.dv,2,0.150,0.075,0.146,0,0,1.077,0.442,5.135,6.537,71.565,0.260,CPAP,0.169
c:1/2 - CPAP_gtub_012_SIR_PRJ.dv,4,0.201,0.050,0.197,0,0,0.863,0.332,5.026,6.271,76.996,0.204,CPAP,0.224
c:1/2 - CPAP_gtub_013_SIR_PRJ.dv,2,0.204,0.102,0.200,0,0,1.480,0.559,6.063,5.846,88.283,0.341,CPAP,0.187
c:1/2 - CPAP_gtub_015_SIR_PRJ.dv,2,0.128,0.064,0.125,0,0,0.975,0.390,4.898,6.182,60.482,0.261,CPAP,0.172
c:1/2 - CPAP_gtub_016_SIR_PRJ.dv,2,0.094,0.047,0.092,0,0,0.851,0.357,5.214,4.701,78.307,0.224,CPAP,0.088
c:1/2 - CPAP_gtub_017_SIR_PRJ.dv,2,0.189,0.094,0.185,0,0,1.540,0.576,4.997,4.957,30.530,0.333,CPAP,0.275
c:1/2 - CPAP_gtub_019_SIR_PRJ.dv,5,0.164,0.033,0.160,0,0,0.823,0.346,5.190,6.146,83.068,0.181,CPAP,0.206
c:1/2 - CPAP_gtub_020_SIR_PRJ.dv,2,0.287,0.144,0.281,0,0,1.815,0.676,4.464,5.807,58.195,0.378,CPAP,0.300
c:1/2 - CPAP_gtub_022_SIR_PRJ.dv,2,0.098,0.049,0.096,0,0,0.898,0.352,4.957,5.668,56.599,0.217,CPAP,0.094
c:1/2 - CPAP_gtub_023_SIR_PRJ.dv,2,0.126,0.063,0.124,0,0,1.070,0.353,4.128,6.063,39.345,0.309,CPAP,0.156
c:1/2 - CPAP_gtub_025_SIR_PRJ.dv,1,0.148,0.148,0.145,0,0,2.038,0.637,5.175,6.794,150.255,0.447,CPAP,0.262
c:1/2 - CPAP_gtub_026_SIR_PRJ.dv,4,0.161,0.040,0.157,0,0,0.785,0.301,5.244,3.812,99.703,0.189,CPAP,0.141
c:1/2 - CPAP_gtub_027_SIR_PRJ.dv,2,0.164,0.082,0.160,0,0,1.249,0.445,5.175,4.602,116.837,0.358,CPAP,0.189
c:1/2 - CPAP_gtub_028_SIR_PRJ.dv,5,0.267,0.053,0.261,0,0,0.956,0.352,6.012,5.514,98.562,0.228,CPAP,0.203
c:1/2 - CPAP_gtub_029_SIR_PRJ.dv,5,0.142,0.028,0.139,0,0,0.638,0.260,4.298,5.333,55.626,0.169,CPAP,0.112
c:2/2 - NEDD1141_NEDD1ab_I_001_SIR_PRJ.dv,7,0.404,0.058,0.395,0,0,0.814,0.316,5.383,6.303,48.258,0.224,NEDD1-C1,0.300
c:2/2 - NEDD1141_NEDD1ab_I_002_SIR_PRJ.dv,25,0.713,0.029,0.697,0,0,0.626,0.250,5.628,5.530,96.436,0.166,NEDD1-C1,0.172
c:2/2 - NEDD1141_NEDD1ab_I_006_SIR_PRJ.dv,46,1.429,0.031,1.398,0,0,0.684,0.280,4.842,6.293,100.530,0.170,NEDD1-C1,0.187
c:2/2 - NEDD1141_NEDD1ab_I_007_SIR_PRJ.dv,7,0.343,0.049,0.336,0,0,0.809,0.290,4.537,7.059,105.063,0.207,NEDD1-C1,0.224
c:2/2 - NEDD1141_NEDD1ab_I_010_SIR_PRJ.dv,59,2.473,0.042,2.419,0,0,0.869,0.336,5.896,5.380,92.823,0.198,NEDD1-C1,0.505
c:2/2 - NEDD1141_NEDD1ab_I_011_SIR_PRJ.dv,87,2.687,0.031,2.628,0,0,0.676,0.277,5.042,5.302,98.515,0.170,NEDD1-C1,0.306
c:2/2 - NEDD1141_NEDD1ab_I_012_SIR_PRJ.dv,8,0.428,0.053,0.418,0,0,0.797,0.320,7.011,4.859,97.078,0.217,NEDD1-C1,0.224
c:2/2 - NEDD1141_NEDD1ab_I_013_SIR_PRJ.dv,28,1.361,0.049,1.331,0,0,0.927,0.344,5.959,7.667,96.129,0.201,NEDD1-C1,0.674
c:2/2 - NEDD1141_NEDD1ab_I_015_SIR_PRJ.dv,62,1.735,0.028,1.697,0,0,0.626,0.261,5.694,5.869,99.746,0.162,NEDD1-C1,0.241
c:2/2 - NEDD1141_NEDD1ab_I_016_SIR_PRJ.dv,49,1.705,0.035,1.668,0,0,0.754,0.290,3.459,6.162,94.423,0.184,NEDD1-C1,0.244
c:2/2 - NEDD1141_NEDD1ab_I_017_SIR_PRJ.dv,3,0.312,0.104,0.305,0,0,1.169,0.438,5.570,6.070,52.876,0.324,NEDD1-C1,0.244
c:2/2 - NEDD1141_NEDD1ab_I_018_SIR_PRJ.dv,18,0.682,0.038,0.667,0,0,0.703,0.280,4.242,6.603,90.038,0.184,NEDD1-C1,0.225
c:2/2 - NEDD1141_NEDD1ab_I_019_SIR_PRJ.dv,13,0.521,0.040,0.510,0,0,0.686,0.273,4.776,4.786,95.849,0.185,NEDD1-C1,0.264
c:2/2 - NEDD1141_NEDD1ab_I_022_SIR_PRJ.dv,10,0.374,0.037,0.366,0,0,0.722,0.279,4.938,4.780,123.152,0.187,NEDD1-C1,0.172
c:2/2 - NEDD1141_NEDD1ab_I_023_SIR_PRJ.dv,17,0.715,0.042,0.699,0,0,0.750,0.303,7.758,4.975,108.730,0.189,NEDD1-C1,0.206
c:2/2 - NEDD1141_NEDD1ab_I_024_SIR_PRJ.dv,27,0.867,0.032,0.848,0,0,0.630,0.258,6.371,4.648,115.874,0.170,NEDD1-C1,0.264
c:2/2 - NEDD1141_NEDD1ab_I_025_SIR_PRJ.dv,48,1.708,0.036,1.671,0,0,0.744,0.300,4.603,4.095,99.659,0.174,NEDD1-C1,0.359
c:2/2 - NEDD1141_NEDD1ab_I_026_SIR_PRJ.dv,13,0.579,0.045,0.566,0,0,0.735,0.294,5.834,5.822,121.015,0.194,NEDD1-C1,0.262
c:2/2 - NEDD1141_NEDD1ab_I_027_SIR_PRJ.dv,25,0.827,0.033,0.809,0,0,0.675,0.268,5.288,4.901,101.703,0.162,NEDD1-C1,0.374
c:2/2 - NEDD1141_NEDD1ab_I_028_SIR_PRJ.dv,21,0.758,0.036,0.742,0,0,0.785,0.294,4.262,2.588,98.700,0.185,NEDD1-C1,0.224
c:2/2 - NEDD1141_NEDD1ab_I_029_SIR_PRJ.dv,13,0.385,0.030,0.377,0,0,0.595,0.245,5.056,5.627,103.439,0.159,NEDD1-C1,0.241
c:1/2 - NEDD1ab_NEDD1141_I_001_SIR_PRJ.dv,3,0.334,0.111,0.327,0,0,1.365,0.472,4.503,6.531,108.282,0.355,NEDD1-C1,0.284
c:1/2 - NEDD1ab_NEDD1141_I_002_SIR_PRJ.dv,7,0.325,0.046,0.317,0,0,0.939,0.333,5.869,5.062,85.774,0.213,NEDD1-C1,0.172
c:1/2 - NEDD1ab_NEDD1141_I_003_SIR_PRJ.dv,12,0.571,0.048,0.558,0,0,0.777,0.313,5.497,6.126,76.557,0.203,NEDD1-C1,0.262
c:1/2 - NEDD1ab_NEDD1141_I_004_SIR_PRJ.dv,10,0.585,0.059,0.572,0,0,0.791,0.296,5.814,4.183,115.264,0.207,NEDD1-C1,0.306
c:1/2 - NEDD1ab_NEDD1141_I_005_SIR_PRJ.dv,21,0.616,0.029,0.603,0,0,0.638,0.265,4.853,5.729,101.750,0.162,NEDD1-C1,0.187
c:1/2 - NEDD1ab_NEDD1141_I_006_SIR_PRJ.dv,6,0.351,0.059,0.343,0,0,0.820,0.322,5.458,5.273,87.134,0.226,NEDD1-C1,0.258
c:1/2 - NEDD1ab_NEDD1141_I_008_SIR_PRJ.dv,19,0.534,0.028,0.522,0,0,0.648,0.260,5.098,4.634,110.320,0.165,NEDD1-C1,0.206
c:1/2 - NEDD1ab_NEDD1141_I_010_SIR_PRJ.dv,15,0.526,0.035,0.514,0,0,0.668,0.268,7.113,4.179,103.935,0.179,NEDD1-C1,0.206
c:1/2 - NEDD1ab_NEDD1141_I_011_SIR_PRJ.dv,19,0.629,0.033,0.615,0,0,0.653,0.264,4.426,4.775,108.281,0.169,NEDD1-C1,0.244
c:1/2 - NEDD1ab_NEDD1141_I_013_SIR_PRJ.dv,7,0.459,0.066,0.449,0,0,0.907,0.341,4.520,5.231,82.099,0.226,NEDD1-C1,0.224
c:1/2 - NEDD1ab_NEDD1141_I_015_SIR_PRJ.dv,11,0.392,0.036,0.383,0,0,0.702,0.281,3.975,4.489,108.262,0.188,NEDD1-C1,0.189
c:1/2 - NEDD1ab_NEDD1141_I_016_SIR_PRJ.dv,21,0.699,0.033,0.684,0,0,0.677,0.277,4.541,4.432,104.585,0.165,NEDD1-C1,0.300
c:1/2 - NEDD1ab_NEDD1141_I_019_SIR_PRJ.dv,19,0.676,0.036,0.661,0,0,0.633,0.259,6.798,4.148,121.698,0.175,NEDD1-C1,0.305
c:1/2 - NEDD1ab_NEDD1141_I_022_SIR_PRJ.dv,25,0.871,0.035,0.213,0,0,0.730,0.287,10.641,11.305,106.123,0.181,NEDD1-C1,0.499
c:1/2 - NEDD1ab_NEDD1141_I_024_SIR_PRJ.dv,21,0.780,0.037,0.763,0,0,0.765,0.295,5.417,6.730,118.484,0.182,NEDD1-C1,0.415
c:1/2 - NEDD1ab_NEDD1141_I_025_SIR_PRJ.dv,7,0.398,0.057,0.389,0,0,0.845,0.311,3.617,4.853,147.642,0.215,NEDD1-C1,0.305
c:1/2 - NEDD1ab_NEDD1141_I_033_SIR_PRJ.dv,32,1.159,0.036,1.134,0,0,0.807,0.304,3.376,4.736,95.555,0.191,NEDD1-C1,0.624
c:1/2 - NEDD1ab_NEDD1141_I_034_SIR_PRJ.dv,31,1.003,0.032,0.981,0,0,0.760,0.308,3.240,6.988,134.445,0.166,NEDD1-C1,0.372
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1101_0_SIR_PRJ_615_525_x,4,56252375.375,14063093.844,0.690,0,0,13514.705,4935.317,41627.777,46302.083,110.086,2780.746,NEDD1-C1,93836930.815
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1104_0_SIR_PRJ_615_525_x,4,51523195.500,12880798.875,0.632,0,0,14710.299,4773.193,43391.666,55033.333,113.818,2726.925,NEDD1-C1,93090211.267
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1109_0_SIR_PRJ_615_525_x,3,47665179.000,15888393.000,0.584,0,0,14263.566,5109.166,43156.481,42568.518,96.244,3886.464,NEDD1-C1,31859748.069
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1112_0_SIR_PRJ_615_525_x,5,56127923.750,11225584.750,0.688,0,0,13554.262,4495.717,46425.555,43673.889,58.396,2865.385,NEDD1-C1,84129656.417
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1116_0_SIR_PRJ_615_525_x,8,77160339.750,9645042.469,0.946,0,0,12933.874,4286.445,50050.347,47933.680,104.190,2633.977,NEDD1-C1,68697596.238
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1118_0_SIR_PRJ_615_525_x,15,79649381.625,5309958.775,0.977,0,0,8873.216,3278.425,56420.926,41627.778,99.284,2184.634,NEDD1-C1,47291825.535
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1121_0_SIR_PRJ_615_525_x,32,177842140.000,5557566.875,2.180,0,0,8804.169,3308.281,44957.118,55716.841,80.484,2063.100,NEDD1-C1,107526670.900
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1128_0_SIR_PRJ_615_525_x,8,59239228.500,7404903.562,0.726,0,0,10019.786,3299.591,44626.389,38717.362,105.638,2277.972,NEDD1-C1,89605556.261
