Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1628_0_SIR_PRJ.dv,24,0.707,0.029,0.688,0,0,0.615,0.251,5.790,5.742,97.011,0.170,NEDD1-C1,0.188
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1637_0_SIR_PRJ.dv,32,0.914,0.029,0.890,0,0,0.600,0.245,5.852,5.485,103.653,0.166,NEDD1-C1,0.225
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1643_0_SIR_PRJ.dv,17,0.618,0.036,0.601,0,0,0.726,0.282,4.500,5.991,104.032,0.184,NEDD1-C1,0.265
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1702_0_SIR_PRJ.dv,28,0.894,0.032,0.870,0,0,0.610,0.254,4.676,6.957,98.193,0.169,NEDD1-C1,0.282
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1725_0_SIR_PRJ.dv,6,0.354,0.059,0.345,0,0,0.861,0.331,7.491,4.297,126.742,0.230,NEDD1-C1,0.245
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1732_0_SIR_PRJ.dv,19,0.646,0.034,0.629,0,0,0.664,0.268,4.767,7.209,90.903,0.163,NEDD1-C1,0.380
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1737_0_SIR_PRJ.dv,21,0.557,0.027,0.542,0,0,0.597,0.230,4.827,5.122,109.013,0.168,NEDD1-C1,0.173
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1743_0_SIR_PRJ.dv,24,0.767,0.032,0.746,0,0,0.630,0.261,5.075,4.767,107.821,0.170,NEDD1-C1,0.285
c:2/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1747_0_SIR_PRJ.dv,35,1.164,0.033,1.132,0,0,0.653,0.258,4.112,4.999,102.209,0.175,NEDD1-C1,0.327
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1400_0_SIR_PRJ.dv,2,0.472,0.236,0.459,0,0,1.984,0.649,4.277,4.237,134.678,0.551,PCNT-N1,0.427
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1403_0_SIR_PRJ.dv,2,0.630,0.315,0.613,0,0,2.370,0.742,5.544,6.316,88.134,0.429,PCNT-N1,1.224
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1407_0_SIR_PRJ.dv,3,0.638,0.213,0.621,0,0,2.318,0.762,4.726,5.478,103.041,0.409,PCNT-N1,0.804
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1414_0_SIR_PRJ.dv,3,0.596,0.199,0.580,0,0,1.597,0.590,4.171,5.531,86.003,0.436,PCNT-N1,0.502
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1459_0_SIR_PRJ.dv,3,0.505,0.168,0.491,0,0,1.612,0.532,4.805,5.412,52.134,0.407,PCNT-N1,0.400
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1504_0_SIR_PRJ.dv,4,0.599,0.150,0.583,0,0,1.673,0.530,3.950,5.425,73.427,0.365,PCNT-N1,0.722
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1510_0_SIR_PRJ.dv,6,0.786,0.131,0.764,0,0,1.301,0.429,4.818,4.244,103.422,0.286,PCNT-N1,1.270
c:2/2 - N20_PCNTab_ctrl_20110618_Sat-1516_0_SIR_PRJ.dv,2,0.706,0.353,0.687,0,0,2.981,0.890,2.693,5.564,63.973,0.545,PCNT-N1,1.490
c:1/2 - PCNT_gtub_I_003_SIR_PRJ.dv,3,0.569,0.190,0.557,0,0,1.965,0.673,5.017,5.398,107.648,0.385,PCNT-N1,1.054
c:1/2 - PCNT_gtub_I_004_SIR_PRJ.dv,7,0.646,0.092,0.632,0,0,1.107,0.396,4.464,4.514,91.665,0.266,PCNT-N1,0.515
c:1/2 - PCNT_gtub_I_005_SIR_PRJ.dv,3,0.545,0.182,0.533,0,0,1.566,0.555,4.832,5.622,54.513,0.435,PCNT-N1,0.425
c:1/2 - PCNT_gtub_I_007_SIR_PRJ.dv,8,0.571,0.071,0.558,0,0,1.014,0.368,5.318,4.701,97.585,0.258,PCNT-N1,0.445
c:1/2 - PCNT_gtub_I_010_SIR_PRJ.dv,4,0.585,0.146,0.572,0,0,1.310,0.488,5.481,4.888,46.814,0.290,PCNT-N1,0.852
c:1/2 - PCNT_gtub_I_011_SIR_PRJ.dv,2,0.599,0.300,0.586,0,0,2.142,0.702,5.096,6.379,39.238,0.612,PCNT-N1,0.399
c:1/2 - PCNT_gtub_I_015_SIR_PRJ.dv,4,0.604,0.151,0.591,0,0,1.517,0.499,4.770,5.234,84.334,0.339,PCNT-N1,0.996
c:1/2 - PCNT_gtub_I_017_SIR_PRJ.dv,5,0.488,0.098,0.478,0,0,1.139,0.387,5.814,5.056,103.496,0.296,PCNT-N1,0.328
c:1/2 - PCNT_gtub_I_018_SIR_PRJ.dv,2,0.473,0.236,0.462,0,0,1.817,0.574,4.306,5.708,132.618,0.485,PCNT-N1,0.755
c:1/2 - PCNT_gtub_I_019_SIR_PRJ.dv,7,0.672,0.096,0.658,0,0,1.042,0.407,4.464,5.863,68.226,0.248,PCNT-N1,0.892
c:1/2 - PCNT_gtub_I_020_SIR_PRJ.dv,3,0.560,0.187,0.548,0,0,1.519,0.538,5.056,5.412,142.905,0.355,PCNT-N1,1.015
c:1/2 - PCNT_gtub_I_023_SIR_PRJ.dv,3,0.515,0.172,0.504,0,0,1.663,0.578,4.477,4.832,58.095,0.475,PCNT-N1,0.478
c:1/2 - PCNT_gtub_I_024_SIR_PRJ.dv,9,1.570,0.174,1.535,0,0,1.620,0.499,3.621,4.240,75.750,0.326,PCNT-N1,2.496
c:1/2 - PCNT_gtub_I_025_SIR_PRJ.dv,4,0.504,0.126,0.493,0,0,1.371,0.508,4.345,4.167,113.868,0.319,PCNT-N1,0.386
c:1/2 - PCNT_gtub_I_031_SIR_PRJ.dv,2,0.738,0.369,0.722,0,0,2.826,0.886,4.701,5.491,92.960,0.483,PCNT-N1,1.548
c:1/2 - PCNT_gtub_I_032_SIR_PRJ.dv,2,0.663,0.332,0.648,0,0,2.326,0.854,6.814,6.044,98.195,0.436,PCNT-N1,1.202
c:1/2 - PCNT_gtub_I_035_SIR_PRJ.dv,4,0.643,0.161,0.629,0,0,1.513,0.566,4.661,5.787,103.221,0.366,PCNT-N1,0.623
c:1/2 - PCNT_gtub_I_039_SIR_PRJ.dv,3,0.348,0.116,0.340,0,0,1.742,0.480,3.963,6.518,111.571,0.282,PCNT-N1,0.718
c:1/2 - PCNT_gtub_I_041_SIR_PRJ.dv,4,0.568,0.142,0.555,0,0,1.312,0.453,4.730,4.473,104.335,0.370,PCNT-N1,0.399
c:1/2 - PCNT_gtub_I_042_SIR_PRJ.dv,2,0.367,0.183,0.359,0,0,1.810,0.598,5.175,5.313,87.195,0.470,PCNT-N1,0.372
c:1/2 - PCNT_gtub_I_044_SIR_PRJ.dv,2,0.744,0.372,0.728,0,0,3.411,0.929,5.096,4.365,81.918,0.621,PCNT-N1,1.779
c:1/2 - PCNT_gtub_I_047_SIR_PRJ.dv,9,0.627,0.070,0.613,0,0,0.956,0.365,5.591,4.784,98.194,0.239,PCNT-N1,0.623
c:1/2 - PCNT_gtub_I_050_SIR_PRJ.dv,3,0.867,0.289,0.848,0,0,2.041,0.690,6.333,4.977,123.151,0.510,PCNT-N1,0.886
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1628_0_SIR_PRJ.dv,3,0.433,0.144,0.421,0,0,1.360,0.469,5.306,5.135,137.313,0.407,PCNT-N1,0.307
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1637_0_SIR_PRJ.dv,2,0.554,0.277,0.539,0,0,2.602,0.805,5.108,5.881,58.283,0.624,PCNT-N1,0.690
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1643_0_SIR_PRJ.dv,2,0.888,0.444,0.864,0,0,3.673,1.247,4.277,4.217,131.709,0.464,PCNT-N1,2.689
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1702_0_SIR_PRJ.dv,8,0.786,0.098,0.764,0,0,1.155,0.429,5.465,4.990,80.978,0.300,PCNT-N1,0.506
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1725_0_SIR_PRJ.dv,3,0.552,0.184,0.537,0,0,1.545,0.613,6.217,4.712,85.928,0.328,PCNT-N1,0.804
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1732_0_SIR_PRJ.dv,3,0.497,0.166,0.484,0,0,1.423,0.522,5.478,5.702,114.626,0.296,PCNT-N1,0.719
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1737_0_SIR_PRJ.dv,2,0.648,0.324,0.630,0,0,3.344,0.799,5.287,4.613,99.028,0.531,PCNT-N1,1.313
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1743_0_SIR_PRJ.dv,4,0.547,0.137,0.533,0,0,1.601,0.529,5.376,4.277,91.766,0.346,PCNT-N1,0.527
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1747_0_SIR_PRJ.dv,3,0.387,0.129,0.377,0,0,1.689,0.505,5.042,4.501,92.071,0.287,PCNT-N1,0.793
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1120_0_SIR_PRJ.dv,4,0.434,0.109,0.423,0,0,1.379,0.489,4.643,4.910,107.548,0.252,PCNT-N1,0.941
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1129_0_SIR_PRJ.dv,5,0.712,0.142,0.693,0,0,1.559,0.486,5.560,5.496,114.787,0.291,PCNT-N1,1.227
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1136_0_SIR_PRJ.dv,3,0.467,0.156,0.455,0,0,1.292,0.488,4.673,3.881,116.230,0.320,PCNT-N1,0.677
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1139_0_SIR_PRJ.dv,8,0.676,0.084,0.658,0,0,1.153,0.386,6.678,4.638,74.682,0.266,PCNT-N1,0.402
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1146_0_SIR_PRJ.dv,5,0.618,0.124,0.601,0,0,1.216,0.426,5.766,5.108,119.506,0.319,PCNT-N1,0.424
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1242_0_SIR_PRJ.dv,2,0.381,0.191,0.371,0,0,1.826,0.608,5.227,5.089,136.683,0.358,PCNT-N1,0.639
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1256_0_SIR_PRJ.dv,2,0.499,0.249,0.485,0,0,2.029,0.713,5.643,5.544,77.047,0.406,PCNT-N1,0.693
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1259_0_SIR_PRJ.dv,5,0.732,0.146,0.713,0,0,1.535,0.487,5.164,5.694,83.923,0.296,PCNT-N1,1.273
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1307_0_SIR_PRJ.dv,8,0.662,0.083,0.644,0,0,1.255,0.412,5.247,5.183,105.384,0.260,PCNT-N1,0.974
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1311_0_SIR_PRJ.dv,3,0.555,0.185,0.540,0,0,1.782,0.574,5.016,5.821,34.336,0.456,PCNT-N1,0.452
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1314_0_SIR_PRJ.dv,4,0.566,0.142,0.551,0,0,1.312,0.491,3.663,4.792,69.190,0.343,PCNT-N1,0.505
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1319_0_SIR_PRJ.dv,5,0.409,0.082,0.398,0,0,1.038,0.385,4.839,5.156,117.508,0.272,PCNT-N1,0.353
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1324_0_SIR_PRJ.dv,2,0.635,0.318,0.618,0,0,2.475,0.651,4.613,5.346,154.298,0.515,PCNT-N1,0.974
c:2/2 - 141_gtub_001_SIR_PRJ.dv,1,0.473,0.473,0.462,0,0,3.475,1.152,4.187,6.044,22.166,0.617,TUBG1-N,0.970
c:2/2 - 141_gtub_007_SIR_PRJ.dv,1,0.337,0.337,0.330,0,0,3.084,1.037,4.977,4.543,40.365,0.526,TUBG1-N,0.653
c:2/2 - 141_gtub_008_SIR_PRJ.dv,1,0.359,0.359,0.351,0,0,2.847,0.936,5.096,5.254,27.646,0.602,TUBG1-N,0.549
c:2/2 - 141_gtub_012_SIR_PRJ.dv,2,0.367,0.183,0.359,0,0,1.665,0.604,3.456,4.483,26.886,0.486,TUBG1-N,0.264
c:2/2 - 141_gtub_013_SIR_PRJ.dv,2,0.537,0.268,0.525,0,0,2.091,0.734,5.728,5.886,111.113,0.394,TUBG1-N,0.849
c:2/2 - 141_gtub_014_SIR_PRJ.dv,1,0.349,0.349,0.342,0,0,3.336,1.102,4.701,2.765,14.534,0.514,TUBG1-N,0.548
c:2/2 - 141_gtub_016_SIR_PRJ.dv,2,0.551,0.275,0.539,0,0,2.315,0.729,4.108,5.293,96.283,0.625,TUBG1-N,0.506
c:2/2 - 141_gtub_017_SIR_PRJ.dv,1,0.495,0.495,0.484,0,0,3.768,1.351,5.688,6.636,74.745,0.563,TUBG1-N,0.927
c:2/2 - 141_gtub_018_SIR_PRJ.dv,1,0.506,0.506,0.494,0,0,3.275,1.185,4.108,4.898,126.870,0.675,TUBG1-N,0.801
c:2/2 - 141_gtub_019_SIR_PRJ.dv,3,0.555,0.185,0.543,0,0,1.465,0.545,5.109,3.687,149.144,0.408,TUBG1-N,0.375
c:2/2 - 141_gtub_023_SIR_PRJ.dv,2,0.437,0.218,0.427,0,0,1.744,0.611,5.017,4.286,92.521,0.517,TUBG1-N,0.306
c:2/2 - 141_gtub_024_SIR_PRJ.dv,2,0.365,0.183,0.357,0,0,1.608,0.573,4.622,5.668,58.892,0.474,TUBG1-N,0.262
c:2/2 - 141_gtub_026_SIR_PRJ.dv,2,0.627,0.314,0.613,0,0,2.596,0.787,4.819,5.352,26.472,0.436,TUBG1-N,0.936
c:2/2 - 141_gtub_027_SIR_PRJ.dv,3,0.543,0.181,0.531,0,0,1.921,0.608,6.044,3.924,60.961,0.324,TUBG1-N,1.167
c:2/2 - 141_gtub_028_SIR_PRJ.dv,2,0.613,0.307,0.600,0,0,1.989,0.668,5.096,7.742,114.882,0.472,TUBG1-N,0.970
c:2/2 - 141_gtub_032_SIR_PRJ.dv,3,0.521,0.174,0.510,0,0,1.546,0.567,5.030,3.213,91.528,0.321,TUBG1-N,1.136
c:2/2 - 141_gtub_033_SIR_PRJ.dv,2,0.610,0.305,0.597,0,0,2.210,0.786,5.333,6.261,164.368,0.564,TUBG1-N,0.499
c:1/2 - gtub_NEDD1141_I_001_SIR_PRJ.dv,1,0.343,0.343,0.336,0,0,2.716,0.891,4.108,5.175,167.196,0.563,TUBG1-N,0.549
c:1/2 - gtub_NEDD1141_I_002_SIR_PRJ.dv,1,0.465,0.465,0.455,0,0,3.656,1.203,5.135,5.570,23.199,0.579,TUBG1-N,0.699
c:1/2 - gtub_NEDD1141_I_003_SIR_PRJ.dv,2,0.615,0.307,0.601,0,0,1.984,0.706,5.372,4.444,47.280,0.465,TUBG1-N,1.132
c:1/2 - gtub_NEDD1141_I_005_SIR_PRJ.dv,1,0.513,0.513,0.502,0,0,3.558,1.174,5.412,4.701,109.654,0.666,TUBG1-N,0.905
c:1/2 - gtub_NEDD1141_I_008_SIR_PRJ.dv,1,0.412,0.412,0.403,0,0,3.610,1.255,4.661,5.767,65.854,0.579,TUBG1-N,0.905
c:1/2 - gtub_NEDD1141_I_009_SIR_PRJ.dv,2,0.428,0.214,0.418,0,0,1.863,0.665,4.246,5.747,53.514,0.511,TUBG1-N,0.352
c:1/2 - gtub_NEDD1141_I_010_SIR_PRJ.dv,2,0.449,0.225,0.439,0,0,1.940,0.672,5.135,4.898,87.908,0.494,TUBG1-N,0.345
c:1/2 - gtub_NEDD1141_I_011_SIR_PRJ.dv,2,0.403,0.201,0.394,0,0,1.868,0.636,4.602,4.977,81.204,0.488,TUBG1-N,0.349
c:1/2 - gtub_NEDD1141_I_014_SIR_PRJ.dv,2,0.415,0.208,0.406,0,0,1.717,0.610,5.352,5.589,94.099,0.511,TUBG1-N,0.306
c:1/2 - gtub_NEDD1141_I_015_SIR_PRJ.dv,3,0.396,0.132,0.388,0,0,1.341,0.489,4.069,4.938,113.930,0.389,TUBG1-N,0.284
c:1/2 - gtub_NEDD1141_I_016_SIR_PRJ.dv,1,0.488,0.488,0.478,0,0,3.778,1.174,4.385,4.898,109.654,0.711,TUBG1-N,0.815
c:1/2 - gtub_NEDD1141_I_017_SIR_PRJ.dv,1,0.499,0.499,0.488,0,0,3.913,1.325,5.412,4.306,100.305,0.592,TUBG1-N,0.824
c:1/2 - gtub_NEDD1141_I_020_SIR_PRJ.dv,2,0.318,0.159,0.311,0,0,2.410,0.615,5.471,5.668,52.250,0.504,TUBG1-N,0.305
c:1/2 - gtub_NEDD1141_I_021_SIR_PRJ.dv,2,0.451,0.225,0.441,0,0,2.058,0.658,5.412,5.708,61.902,0.514,TUBG1-N,0.345
c:1/2 - gtub_NEDD1141_I_023_SIR_PRJ.dv,2,0.360,0.180,0.352,0,0,1.856,0.621,5.096,5.056,65.527,0.466,TUBG1-N,0.281
c:1/2 - gtub_NEDD1141_I_024_SIR_PRJ.dv,1,0.530,0.530,0.519,0,0,4.340,1.342,4.187,5.609,47.386,0.730,TUBG1-N,1.177
c:1/2 - gtub_NEDD1141_I_025_SIR_PRJ.dv,2,0.403,0.201,0.394,0,0,2.045,0.673,4.859,5.234,148.638,0.474,TUBG1-N,0.449
c:1/2 - gtub_NEDD1141_I_026_SIR_PRJ.dv,2,0.342,0.171,0.334,0,0,1.598,0.576,5.115,5.649,22.211,0.444,TUBG1-N,0.305
c:1/2 - gtub_NEDD1141_I_028_SIR_PRJ.dv,1,0.510,0.510,0.499,0,0,3.419,1.235,4.029,5.254,172.648,0.700,TUBG1-N,0.871
c:1/2 - gtub_NEDD1141_I_030_SIR_PRJ.dv,3,0.601,0.200,0.587,0,0,1.825,0.653,5.240,5.701,119.695,0.408,TUBG1-N,0.447
c:1/2 - gtub_PCNT_I_002_SIR_PRJ.dv,2,0.343,0.172,0.336,0,0,1.633,0.597,5.372,4.385,75.034,0.442,TUBG1-N,0.244
c:1/2 - gtub_PCNT_I_004_SIR_PRJ.dv,2,0.371,0.186,0.363,0,0,1.738,0.616,4.760,4.424,70.522,0.469,TUBG1-N,0.275
c:1/2 - gtub_PCNT_I_005_SIR_PRJ.dv,3,0.498,0.166,0.487,0,0,1.469,0.514,5.254,5.319,110.694,0.393,TUBG1-N,0.372
c:1/2 - gtub_PCNT_I_008_SIR_PRJ.dv,1,0.473,0.473,0.462,0,0,3.708,1.186,4.780,6.439,119.982,0.647,TUBG1-N,1.054
c:1/2 - gtub_PCNT_I_012_SIR_PRJ.dv,2,0.251,0.126,0.246,0,0,1.126,0.427,4.720,5.155,92.067,0.321,TUBG1-N,0.328
c:1/2 - gtub_PCNT_I_013_SIR_PRJ.dv,3,0.420,0.140,0.410,0,0,1.289,0.463,5.491,6.083,145.446,0.379,TUBG1-N,0.349
c:1/2 - gtub_PCNT_I_014_SIR_PRJ.dv,2,0.420,0.210,0.410,0,0,1.856,0.635,4.385,5.372,53.902,0.514,TUBG1-N,0.325
c:1/2 - gtub_PCNT_I_015_SIR_PRJ.dv,2,0.290,0.145,0.284,0,0,1.570,0.577,5.214,3.990,83.114,0.425,TUBG1-N,0.244
c:1/2 - gtub_PCNT_I_016_SIR_PRJ.dv,1,0.443,0.443,0.433,0,0,3.206,1.000,3.792,7.110,9.090,0.703,TUBG1-N,0.781
c:1/2 - gtub_PCNT_I_017_SIR_PRJ.dv,1,0.406,0.406,0.397,0,0,3.173,1.050,4.424,4.859,160.201,0.574,TUBG1-N,0.664
c:1/2 - gtub_PCNT_I_018_SIR_PRJ.dv,2,0.488,0.244,0.478,0,0,1.907,0.690,4.562,4.859,157.898,0.514,TUBG1-N,0.345
c:1/2 - gtub_PCNT_I_021_SIR_PRJ.dv,2,0.440,0.220,0.430,0,0,2.180,0.656,5.175,5.570,93.859,0.528,TUBG1-N,0.352
c:1/2 - gtub_PCNT_I_022_SIR_PRJ.dv,2,0.364,0.182,0.356,0,0,1.659,0.579,7.169,5.333,68.166,0.360,TUBG1-N,0.562
c:1/2 - gtub_PCNT_I_024_SIR_PRJ.dv,1,0.546,0.546,0.534,0,0,3.554,1.287,4.069,5.333,17.879,0.681,TUBG1-N,1.017
c:1/2 - gtub_PCNT_I_027_SIR_PRJ.dv,2,0.396,0.198,0.388,0,0,1.777,0.611,5.471,5.649,108.243,0.508,TUBG1-N,0.305
c:1/2 - gtub_PCNT_I_028_SIR_PRJ.dv,4,0.257,0.064,0.252,0,0,0.935,0.342,5.925,4.454,68.987,0.255,TUBG1-N,0.206
c:1/2 - gtub_PCNT_I_032_SIR_PRJ.dv,2,0.301,0.151,0.294,0,0,1.475,0.499,4.760,5.688,91.260,0.448,TUBG1-N,0.225
c:1/2 - gtub_PCNT_I_033_SIR_PRJ.dv,2,0.398,0.199,0.389,0,0,2.075,0.605,4.641,4.464,83.549,0.520,TUBG1-N,0.375
c:1/2 - gtub_PCNT_I_034_SIR_PRJ.dv,1,0.471,0.471,0.461,0,0,3.065,1.137,4.464,4.898,110.323,0.583,TUBG1-N,0.633
c:1/2 - gtub_PCNT_I_040_SIR_PRJ.dv,2,0.382,0.191,0.374,0,0,1.682,0.593,5.194,4.918,135.000,0.491,TUBG1-N,0.284
c:2/2 - PCNT_gtub_I_003_SIR_PRJ.dv,1,0.474,0.474,0.464,0,0,3.778,1.203,4.148,5.056,113.199,0.622,TUBG1-N,0.961
c:2/2 - PCNT_gtub_I_004_SIR_PRJ.dv,2,0.276,0.138,0.270,0,0,1.524,0.569,3.871,4.859,70.385,0.409,TUBG1-N,0.275
c:2/2 - PCNT_gtub_I_005_SIR_PRJ.dv,2,0.428,0.214,0.418,0,0,1.982,0.686,4.760,5.273,89.045,0.515,TUBG1-N,0.422
c:2/2 - PCNT_gtub_I_007_SIR_PRJ.dv,2,0.387,0.193,0.378,0,0,1.744,0.601,4.385,5.787,47.485,0.474,TUBG1-N,0.284
c:2/2 - PCNT_gtub_I_010_SIR_PRJ.dv,1,0.499,0.499,0.488,0,0,3.396,1.162,3.950,5.293,17.819,0.686,TUBG1-N,0.874
c:2/2 - PCNT_gtub_I_011_SIR_PRJ.dv,2,0.421,0.211,0.412,0,0,1.905,0.672,5.036,6.379,28.072,0.521,TUBG1-N,0.328
c:2/2 - PCNT_gtub_I_015_SIR_PRJ.dv,2,0.454,0.227,0.444,0,0,1.845,0.658,4.602,5.866,77.649,0.503,TUBG1-N,0.325
c:2/2 - PCNT_gtub_I_017_SIR_PRJ.dv,1,0.459,0.459,0.449,0,0,3.554,1.209,5.214,5.767,51.633,0.573,TUBG1-N,0.934
c:2/2 - PCNT_gtub_I_018_SIR_PRJ.dv,1,0.403,0.403,0.394,0,0,2.624,0.919,4.069,4.859,115.463,0.636,TUBG1-N,0.683
c:2/2 - PCNT_gtub_I_019_SIR_PRJ.dv,1,0.428,0.428,0.418,0,0,3.294,1.098,3.121,5.333,30.256,0.650,TUBG1-N,0.749
c:2/2 - PCNT_gtub_I_020_SIR_PRJ.dv,1,0.559,0.559,0.546,0,0,3.410,1.225,4.582,5.254,110.772,0.778,TUBG1-N,0.996
c:2/2 - PCNT_gtub_I_023_SIR_PRJ.dv,2,0.490,0.245,0.479,0,0,2.187,0.735,4.622,4.859,136.824,0.536,TUBG1-N,0.399
c:2/2 - PCNT_gtub_I_024_SIR_PRJ.dv,1,0.490,0.490,0.479,0,0,3.462,1.235,4.701,4.385,97.352,0.593,TUBG1-N,0.774
c:2/2 - PCNT_gtub_I_025_SIR_PRJ.dv,2,0.521,0.261,0.510,0,0,2.040,0.707,4.641,4.799,108.146,0.550,TUBG1-N,0.445
c:2/2 - PCNT_gtub_I_031_SIR_PRJ.dv,1,0.484,0.484,0.473,0,0,3.936,1.369,4.543,5.412,43.831,0.587,TUBG1-N,1.096
c:2/2 - PCNT_gtub_I_032_SIR_PRJ.dv,1,0.512,0.512,0.500,0,0,3.466,1.299,4.108,4.345,160.463,0.575,TUBG1-N,0.871
c:2/2 - PCNT_gtub_I_035_SIR_PRJ.dv,2,0.426,0.213,0.417,0,0,1.961,0.662,4.306,6.478,65.535,0.518,TUBG1-N,0.422
c:2/2 - PCNT_gtub_I_039_SIR_PRJ.dv,1,0.442,0.442,0.432,0,0,2.894,1.075,4.187,6.320,36.027,0.587,TUBG1-N,0.826
c:2/2 - PCNT_gtub_I_041_SIR_PRJ.dv,2,0.484,0.242,0.473,0,0,1.942,0.655,5.115,4.819,145.009,0.553,TUBG1-N,0.352
c:2/2 - PCNT_gtub_I_042_SIR_PRJ.dv,2,0.379,0.190,0.371,0,0,1.654,0.587,4.957,5.135,128.171,0.480,TUBG1-N,0.264
c:2/2 - PCNT_gtub_I_044_SIR_PRJ.dv,1,0.560,0.560,0.548,0,0,3.545,1.234,4.701,4.661,140.194,0.734,TUBG1-N,1.055
c:2/2 - PCNT_gtub_I_047_SIR_PRJ.dv,2,0.452,0.226,0.443,0,0,1.979,0.670,5.471,4.799,81.958,0.513,TUBG1-N,0.393
c:2/2 - PCNT_gtub_I_050_SIR_PRJ.dv,2,0.626,0.313,0.612,0,0,2.284,0.798,4.602,4.898,111.322,0.573,TUBG1-N,0.574
